epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.2533,1.33898,1.60847,1.52723,0.60887,0.56434,0.56638,0.3398,1.42836,1.70372,1.69516,0.00066538,0.00066538,0.00066538
2,140.591,1.397,1.44568,1.56972,0.55187,0.51507,0.50115,0.28753,1.53931,2.05179,1.7872,0.00128809,0.00128809,0.00128809
3,207.674,1.39499,1.41389,1.58321,0.65711,0.59761,0.62451,0.37527,1.40224,1.34384,1.64864,0.0018668,0.0018668,0.0018668
4,275.185,1.37301,1.37244,1.57133,0.65713,0.61535,0.64468,0.39701,1.36034,1.28962,1.62656,0.001802,0.001802,0.001802
5,342.04,1.35092,1.33227,1.54777,0.66039,0.61676,0.63614,0.392,1.34066,1.29222,1.62696,0.001736,0.001736,0.001736
6,409.854,1.30845,1.26254,1.51861,0.69734,0.65097,0.67167,0.42692,1.30861,1.20509,1.55706,0.00167,0.00167,0.00167
7,476.835,1.29385,1.23451,1.50837,0.68528,0.66294,0.66359,0.42484,1.27745,1.22132,1.55275,0.001604,0.001604,0.001604
8,543.777,1.27621,1.21219,1.49813,0.66315,0.69413,0.68387,0.4424,1.26042,1.19565,1.52431,0.001538,0.001538,0.001538
9,610.222,1.2656,1.18282,1.48925,0.70667,0.66996,0.68555,0.4437,1.26142,1.10221,1.53202,0.001472,0.001472,0.001472
10,676.928,1.24411,1.1619,1.47108,0.6817,0.67043,0.68145,0.43831,1.25284,1.12845,1.54046,0.001406,0.001406,0.001406
11,743.263,1.23693,1.13807,1.46424,0.70252,0.69852,0.71257,0.46758,1.23736,1.08539,1.50623,0.00134,0.00134,0.00134
12,809.354,1.23595,1.11375,1.46076,0.70206,0.7092,0.71455,0.46933,1.22902,1.08406,1.51393,0.001274,0.001274,0.001274
13,880.702,1.22241,1.11008,1.45255,0.68818,0.70828,0.69856,0.45695,1.23093,1.05957,1.50307,0.001208,0.001208,0.001208
14,953.032,1.19188,1.08232,1.435,0.72753,0.68347,0.71581,0.47245,1.20314,1.04743,1.49521,0.001142,0.001142,0.001142
15,1023.64,1.20285,1.0834,1.44326,0.71064,0.73191,0.72694,0.48447,1.21184,1.01662,1.49786,0.001076,0.001076,0.001076
16,1094.68,1.18777,1.0618,1.42626,0.72739,0.7092,0.71468,0.47469,1.19588,1.01044,1.48001,0.00101,0.00101,0.00101
17,1164.99,1.17202,1.05067,1.4277,0.70737,0.73384,0.72132,0.48098,1.1839,0.98435,1.46703,0.000944,0.000944,0.000944
18,1232.38,1.16712,1.03657,1.41969,0.72063,0.72666,0.72832,0.48925,1.17074,1.02108,1.45994,0.000878,0.000878,0.000878
19,1297.96,1.16029,1.01873,1.40869,0.72511,0.72928,0.72571,0.48394,1.17259,0.97771,1.44259,0.000812,0.000812,0.000812
20,1363.56,1.16631,1.01814,1.4171,0.7297,0.73321,0.72873,0.48451,1.16251,0.98011,1.4504,0.000746,0.000746,0.000746
21,1443.83,1.15294,0.96635,1.44035,0.72423,0.7307,0.74039,0.49856,1.1555,0.9554,1.44358,0.00068,0.00068,0.00068
22,1510.57,1.1401,0.93211,1.42705,0.73884,0.7419,0.76941,0.52028,1.14484,0.90442,1.43528,0.000614,0.000614,0.000614
23,1576.94,1.12629,0.91872,1.41663,0.71354,0.75424,0.75297,0.50642,1.14868,0.92557,1.41783,0.000548,0.000548,0.000548
24,1647.78,1.11774,0.8997,1.41045,0.71897,0.76381,0.75405,0.50963,1.13493,0.91523,1.42658,0.000482,0.000482,0.000482
25,1717.3,1.0992,0.87614,1.40212,0.72484,0.75157,0.76182,0.51797,1.13583,0.91195,1.42668,0.000416,0.000416,0.000416
26,1783.55,1.09359,0.87036,1.3914,0.73041,0.73771,0.76704,0.52147,1.13048,0.88333,1.41104,0.00035,0.00035,0.00035
27,1849.09,1.07839,0.85297,1.38251,0.73477,0.75534,0.76657,0.52253,1.12017,0.88563,1.41556,0.000284,0.000284,0.000284
28,1914.81,1.06802,0.83447,1.38041,0.7323,0.75212,0.76414,0.52548,1.10984,0.88175,1.41016,0.000218,0.000218,0.000218
29,1982.56,1.06417,0.82364,1.37245,0.74495,0.75127,0.77032,0.53072,1.10979,0.87068,1.40294,0.000152,0.000152,0.000152
30,2048.62,1.05394,0.81043,1.36571,0.74846,0.75094,0.76936,0.52833,1.10466,0.87182,1.39982,8.6e-05,8.6e-05,8.6e-05
